submission_date,state,tot_cases,tot_death
9/17/21,WV,219439,3370
5/9/21,SD,123283,1980
8/1/22,ND,257813,2309
9/30/20,TX,748967,16912
4/12/20,MP,11,2
3/28/20,GA,2592,79
12/20/21,OK,689800,11336
3/19/21,GA,1042417,18464
8/9/22,PR,876452,4812
2/5/20,TX,0,0
10/12/20,IN,136555,3793
7/15/20,AS,0,0
2/19/22,MP,8644,26
7/15/20,PW,0,0
3/18/22,OH,2666030,37608
6/20/21,OK,455994,7362
8/30/22,TN,2295721,27442
1/10/22,NYC,1983311,36096
5/6/22,NY,2810493,27554
6/2/20,HI,646,17
9/12/22,IA,849956,9968
10/5/20,KS,62708,706
6/5/20,FL,60541,2811
7/6/21,IN,755700,13874
1/21/22,NYC,2173212,37367
1/31/20,NY,0,0
6/12/20,HI,711,17
6/22/21,MS,320923,7460
10/28/21,OK,643978,10760
7/13/21,MA,711446,18012
9/4/20,HI,9655,81
5/3/21,SD,122745,1970
2/13/22,GA,2434131,34076
2/28/21,WA,339477,4956
11/13/21,RMI,4,0
5/24/22,AL,1310004,19706
3/11/20,GA,55,0
5/13/20,NM,5364,228
3/5/20,PA,0,0
6/28/22,PR,764823,4544
2/25/21,OH,962404,17125
8/16/20,MA,114398,8843
9/3/20,TN,156125,1797
7/21/20,NY,186087,8794
10/31/20,WA,109655,2366
6/9/21,PA,1212702,27417
12/14/21,OK,680617,11336
6/23/22,AR,858553,11559
12/3/20,UT,206165,917
2/28/21,PR,101918,2024
8/6/21,NY,1181447,20002
7/4/20,OH,56183,2907
10/26/21,GU,17944,232
8/31/20,WA,75019,1915
12/10/20,IA,251386,3120
10/18/21,OH,1499485,23327
10/2/21,SD,145595,2150
3/30/22,MA,1697165,20098
10/23/20,NY,234624,9185
12/8/21,NY,1628255,22524
8/31/21,WV,189690,3084
10/15/20,RMI,0,0
6/28/22,TN,2116632,26659
8/7/20,WV,7433,127
4/25/21,WV,151382,2821
7/3/22,FL,6518916,76598
3/10/22,WA,1436355,12133
10/1/22,GA,2905400,40281
10/25/21,PA,1540721,30976
5/30/20,MP,22,2
2/24/20,RMI,0,0
5/25/21,TX,2936733,50776
2/19/21,GA,980411,16610
9/1/21,NYC,1036970,33864
9/20/22,PA,3220317,46970
1/26/22,MP,4564,23
1/23/20,AK,0,0
6/28/20,OK,17749,432
11/19/21,HI,83684,987
12/22/20,WA,227277,3131
7/31/21,UT,433215,2456
1/12/22,NYC,2045805,36380
6/30/22,TN,2122841,26714
3/11/20,OH,3,0
2/19/21,FL,1826951,31365
3/22/22,AS,1626,0
4/23/21,ND,106656,1486
5/24/20,PW,0,0
8/8/20,FL,522029,10621
1/7/22,MS,586547,10527
4/22/22,ND,240713,2261
2/20/21,NM,182475,3501
10/26/21,AS,4,0
10/21/21,TX,4182835,68573
9/26/21,NYC,1079831,34196
3/16/21,TN,785988,11638
1/14/22,PW,43,0
9/8/21,IN,889362,14699
5/22/21,PR,139076,2461
11/1/21,OK,646136,10911
2/13/21,FL,1790415,30681
1/4/21,IN,529949,8486
3/19/20,KS,35,1
12/11/20,IN,412144,6651
4/23/22,AR,834946,11369
5/31/22,AR,843362,11484
3/20/21,RMI,4,0
12/13/20,PR,65641,1271
4/19/22,CO,1427274,12036
8/8/20,TX,481483,11583
5/23/22,PW,5020,6
10/7/20,GU,2934,57
10/3/22,TN,2341239,27875
8/17/20,WA,67762,1785
10/3/22,SD,261371,3021
2/5/21,AR,304723,5050
4/7/22,WV,498322,6749
3/21/21,AL,510403,10882
10/8/21,GA,1602667,27142
6/7/22,ND,246102,2284
3/27/22,PW,3987,6
10/4/20,SD,24418,248
2/8/22,GA,2419503,33665
5/27/22,UT,948979,4777
9/28/20,PW,0,0
8/4/21,OK,491680,7552
2/24/21,RMI,4,0
4/4/22,GA,2501271,37127
6/1/20,OH,35984,2206
8/11/22,AR,914619,11804
12/18/21,WA,802348,9674
12/31/21,IN,1246854,19037
10/20/20,SD,34457,330
11/23/21,CO,824165,9012
3/16/21,GU,7776,134
7/31/20,GA,190734,3752
12/17/21,KS,497789,6909
10/27/20,FL,774618,17667
6/25/20,KS,12970,261
7/5/20,AL,43901,1456
6/5/20,AK,529,14
